direction,rate_change,quoted_dy,executed_dy,error,error_pct_of_quote,abs_error,abs_error_pct_of_quote,rate_change_pct,error_pct_display,abs_error_pct_display
output_rate_changes,0.9,999990099098224,1109935625510940,-109945526412716,-0.10994661498335155,109945526412716,0.10994661498335155,-9.999999999999998,-10.994661498335155,10.994661498335155
input_rate_changes,0.9,999990099098224,900935018519665,99055080578559,0.09905606132289248,99055080578559,0.09905606132289248,-9.999999999999998,9.905606132289249,9.905606132289249
output_rate_changes,0.95,999990099098224,1052085833630605,-52095734532381,-0.052096250332238435,52095734532381,0.052096250332238435,-5.000000000000004,-5.209625033223843,5.209625033223843
input_rate_changes,0.95,999990099098224,950473896327092,49516202771132,0.04951669303104597,49516202771132,0.04951669303104597,-5.000000000000004,4.951669303104597,4.951669303104597
output_rate_changes,0.98,999990099098224,1020193832218389,-20203733120165,-0.02020393315732268,20203733120165,0.02020393315732268,-2.0000000000000018,-2.0203933157322678,2.0203933157322678
input_rate_changes,0.98,999990099098224,980186465377924,19803633720300,0.019803829796073598,19803633720300,0.019803829796073598,-2.0000000000000018,1.9803829796073598,1.9803829796073598
output_rate_changes,0.99,999990099098224,1009990446190332,-10000347092108,-0.010000446105542607,10000347092108,0.010000446105542607,-1.0000000000000009,-1.0000446105542606,1.0000446105542606
input_rate_changes,0.99,999990099098224,990088766803433,9901332294791,0.009901430327880118,9901332294791,0.009901430327880118,-1.0000000000000009,0.9901430327880119,0.9901430327880119
output_rate_changes,1.0,999990099098224,999990099098224,0,0.0,0,0.0,0.0,0.0,0.0
input_rate_changes,1.0,999990099098224,999990099098224,0,0.0,0,0.0,0.0,0.0,0.0
output_rate_changes,1.01,999990099098224,990186804570844,9803294527380,0.009803391589797202,9803294527380,0.009803391589797202,1.0000000000000009,0.9803391589797202,0.9803391589797202
input_rate_changes,1.01,999990099098224,1009890447735777,-9900348637553,-0.009900446660902928,9900348637553,0.009900446660902928,1.0000000000000009,-0.9900446660902928,0.9900446660902928
output_rate_changes,1.02,999990099098224,980574808999724,19415290098500,0.019415482329283477,19415290098500,0.019415482329283477,2.0000000000000018,1.9415482329283478,1.9415482329283478
input_rate_changes,1.02,999990099098224,1019789798484613,-19799699386389,-0.01979989542320876,19799699386389,0.01979989542320876,2.0000000000000018,-1.9799895423208762,1.9799895423208762
output_rate_changes,1.05,999990099098224,952832340806449,47157758291775,0.047158225200730645,47157758291775,0.047158225200730645,5.000000000000004,4.715822520073065,4.715822520073065
input_rate_changes,1.05,999990099098224,1049481725220628,-49491626122404,-0.049492116138984577,49491626122404,0.049492116138984577,5.000000000000004,-4.949211613898457,4.949211613898457
output_rate_changes,1.1,999990099098224,909943680918121,90046418180103,0.09004730972967183,90046418180103,0.09004730972967183,10.000000000000009,9.004730972967183,9.004730972967183
input_rate_changes,1.1,999990099098224,1098947059661765,-98956960563541,-0.09895794033638823,98956960563541,0.09895794033638823,10.000000000000009,-9.895794033638824,9.895794033638824
