ratio,xpi,xpj,imbalance,imbalance_scaled,multiplier,multiplier_x,base_fee,base_fee_bps,effective_fee,effective_fee_bps
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,20000000000,2.0,4000000,4.0,4188481,4.188481
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,50000000000,5.0,4000000,4.0,4310344,4.310344
0.65,1300000000000000000,700000000000000000,0.3,300000000000000000,100000000000,10.0,4000000,4.0,4352557,4.352557
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,20000000000,2.0,4000000,4.0,4347826,4.3478259999999995
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,50000000000,5.0,4000000,4.0,4587155,4.587155
0.7,1400000000000000000,600000000000000000,0.4,400000000000000000,100000000000,10.0,4000000,4.0,4672897,4.672897
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,20000000000,2.0,4000000,4.0,4571428,4.571428
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,50000000000,5.0,4000000,4.0,5000000,5.0
0.75,1500000000000000000,500000000000000000,0.5,500000000000000000,100000000000,10.0,4000000,4.0,5161290,5.16129
0.8,1600000000000000000,400000000000000000,0.6,600000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.8,1600000000000000000,400000000000000000,0.6,600000000000000000,20000000000,2.0,4000000,4.0,4878048,4.878048
0.8,1600000000000000000,400000000000000000,0.6,600000000000000000,50000000000,5.0,4000000,4.0,5617977,5.617977
0.8,1600000000000000000,400000000000000000,0.6,600000000000000000,100000000000,10.0,4000000,4.0,5917159,5.917159
0.85,1700000000000000000,300000000000000000,0.7,700000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.85,1700000000000000000,300000000000000000,0.7,700000000000000000,20000000000,2.0,4000000,4.0,5298013,5.298013
0.85,1700000000000000000,300000000000000000,0.7,700000000000000000,50000000000,5.0,4000000,4.0,6578947,6.578947
0.85,1700000000000000000,300000000000000000,0.7,700000000000000000,100000000000,10.0,4000000,4.0,7155635,7.155634999999999
0.9,1800000000000000000,200000000000000000,0.8,800000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.9,1800000000000000000,200000000000000000,0.8,800000000000000000,20000000000,2.0,4000000,4.0,5882352,5.882351999999999
0.9,1800000000000000000,200000000000000000,0.8,800000000000000000,50000000000,5.0,4000000,4.0,8196721,8.196721
0.9,1800000000000000000,200000000000000000,0.8,800000000000000000,100000000000,10.0,4000000,4.0,9433962,9.433962
0.95,1900000000000000000,100000000000000000,0.9,900000000000000000,10000000000,1.0,4000000,4.0,4000000,4.0
0.95,1900000000000000000,100000000000000000,0.9,900000000000000000,20000000000,2.0,4000000,4.0,6722689,6.722689000000001
0.95,1900000000000000000,100000000000000000,0.9,900000000000000000,50000000000,5.0,4000000,4.0,11363636,11.363636
0.95,1900000000000000000,100000000000000000,0.9,900000000000000000,100000000000,10.0,4000000,4.0,14760147,14.760147
