amp,A,trade_size,trade_size_pct,dy,dy_over_dx,slippage,slippage_bps,fee,trade_size_pct_display,slippage_bps_display,A_label
2000,20.0,100000000000000,0.0001,99999523811787,0.99999523811787,4.7618821300554615e-06,0.047618821300554615,0,0.01,0.047618821300554615,A=20
2000,20.0,200000000000000,0.0002,199998095256166,0.99999047628083,9.52371916995709e-06,0.0952371916995709,0,0.02,0.0952371916995709,A=20
2000,20.0,500000000000000,0.0005,499988095518835,0.99997619103767,2.380896233000751e-05,0.2380896233000751,0,0.05,0.2380896233000751,A=20
2000,20.0,1000000000000000,0.001,999952383176660,0.99995238317666,4.761682333997985e-05,0.4761682333997985,0,0.1,0.4761682333997985,A=20
2000,20.0,2000000000000000,0.002,1999809541257510,0.999904770628755,9.522937124495368e-05,0.9522937124495368,0,0.2,0.9522937124495368,A=20
2000,20.0,5000000000000000,0.005,4998809780212531,0.9997619560425062,0.00023804395749382756,2.3804395749382756,0,0.5,2.3804395749382756,A=20
2000,20.0,10000000000000000,0.01,9995239930393036,0.9995239930393036,0.0004760069606963846,4.760069606963846,0,1.0,4.760069606963846,A=20
2000,20.0,20000000000000000,0.02,19980963610919276,0.9990481805459638,0.0009518194540362179,9.51819454036218,0,2.0,9.51819454036218,A=20
2000,20.0,50000000000000000,0.05,49880966549914620,0.9976193309982924,0.002380669001707636,23.80669001707636,0,5.0,23.80669001707636,A=20
2000,20.0,100000000000000000,0.1,99521771839608354,0.9952177183960835,0.004782281603916472,47.82281603916472,0,10.0,47.82281603916472,A=20
5000,50.0,100000000000000,0.0001,99999803921951,0.99999803921951,1.9607804899735015e-06,0.019607804899735015,0,0.01,0.019607804899735015,A=50
5000,50.0,200000000000000,0.0002,199999215689320,0.9999960784466,3.921553400010325e-06,0.03921553400010325,0,0.02,0.03921553400010325,A=50
5000,50.0,500000000000000,0.0005,499995098086095,0.99999019617219,9.803827810017651e-06,0.09803827810017651,0,0.05,0.09803827810017651,A=50
